text,HS,Abusive,HS_Weak,HS_Moderate,HS_Strong
user user iya islam lokalisasi kristen mas nusantara mas lihat gereja bandung pakai gamelan khotbah pakai bahasa sunda jawa hkbp nusantara,0,0,0,0,0
cipta situasi aman tertib masyarakat jelang pilih kepala daerah kapolsek konang silaturahmi tokoh masyarakat,0,0,0,0,0
user user positif nse positif respon masyarakat cangkul impor garam impor beras impor jagung impor tenaga kerja impor esemka impor nurl,0,0,0,0,0
user user user user sembahyang adopsi tradisi lokal kerja hindu nistilah xc xa sembahyang xc xa lahir tradisi ritus xc xa menyembahhyang tunggal xc xa shalat sembah all,0,0,0,0,0
dik bodoh larang bawa agama orang islam bayar ahok sadar pilih ahok gla,1,1,1,0,0
user user btp the best abai kaum sial otak micin,1,1,0,1,0
user user sih otak tempurung mah laden smkn lawan bloon dungu makan he,1,1,1,0,0
user awaasss berita akh gerung entar susah cari kosakatany bcr micingin mata bibir monyong samping suara kaya nhn kentut politik kotor skl jmn brt plng kaya nhn ngeden dungu xf kali f kali kali bahasa,1,1,1,0,0
pinokio umur taonan,1,0,1,0,0
user cerita silat lae xf kali f kali kali kho ping hoo indonesia liang ie shen tulis china,0,0,0,0,0
retweet user benci umat islam,1,0,0,1,0
user user user provokasi mayat politisasi agama sebab kalah pilih kepala daerah dki cebong deskripsi kalah junjung informasi ahog pilih apa camat wakil etnis mayorita,1,1,1,0,0
user nete,0,1,0,0,0
user tertawa bani lowo,1,1,0,1,0
takabur lahir kuasa rakyat ulama cendikia iblis mahluq alim amp ibadah atus laknat hasud takabburnya ahli ilmu filsafat failosof mari demo sendi,0,0,0,0,0
orang suka konser konser boros,0,0,0,0,0
makan racun _ ulama hukum rokok mubah jugaâ,0,0,0,0,0
susilo bambang yudhoyono presiden ri khofifah emil masyarakat no bagus,0,0,0,0,0
user kali kpoper ngomonv teman idol banci homo,1,1,1,0,0
suka video user url kisah seteru haji bodoh amp malih tongtong,0,0,0,0,0
budaya kafir sungguh islam diendahkan,0,0,0,0,0
user user user user xf kali f kali e xb hm hmm xf kali f kali e xa diam bisu coba rumput goyang xe kali xab xe kali xab xe kali xab xe kali xaa xe kali xaa xe kali xaa,0,0,0,0,0
setan bisik was was kepada minta lindung allah qs al xe kali kali raf fushilat,0,0,0,0,0
user user user user user user user ente atheis kapai sibuk agama orang,0,0,0,0,0
lengser jokowi bangsat,1,1,0,0,1
user selamat kartini,0,0,0,0,0
retweet user bajing homo nhati anak kamar mandi laki biar url,1,1,1,0,0
user iya cocot,1,1,1,0,0
user budaya indonesia,0,0,0,0,0
user ajar solat orang aseng pecah belah islam,0,0,0,0,0
user kali omong kagak bangkai,1,1,1,0,0
user user percaya negara suatu jajah rana kes bubar sistem beraja negara jadi negara republik komunis negara jaja,0,0,0,0,0
nikmat bijak usul partai komunis indonesia ya,1,0,0,1,0
umpama orang cina usir paksa indonesia,1,0,0,1,0
user bunda ngentot yuk,0,1,0,0,0
retweet user china babi china maling https t cowok ya hiwhjp,1,1,0,0,1
karno anti asing beliau jawa coba deh ada konsensus jawa anti asing profesional asing kebo ohannya nkalau keliru tutup akun,0,0,0,0,0
proyek korupsi rezim surabaya url,1,0,1,0,0
user wajar lihat tingkah petinggi negeri suka campur bahasa indonesia bahasa asing kali bicara,0,0,0,0,0
ab pribadi senang kompetisi positif,0,0,0,0,0
user user kitab suci agama bilang om user,1,0,1,0,0
user suka nutup mata kagak tutup tutup gara sipit,0,0,0,0,0
user muslim user nista kitab suci alqur an alqur an suku dtik mkna faktual olh umat islam yakin makna sirat fiksi,0,0,0,0,0
user eh kasar kampang,1,1,1,0,0
sebentar rilis album the onta si wkwkwkwkwk,0,0,0,0,0
user cebong mas,1,1,1,0,0
najis banget gue ngetwit barusan wey,0,1,0,0,0
transgender anjing url,1,1,1,0,0
user awas bintit ngintipin titit kucing,0,1,0,0,0
user user bawel bawa asa bodoh lucu wkwk iya deh,0,1,0,0,0
user user user user saran bicara maling ayat langsung the point orang paham teriakin kafir sesat liberal puja dukun bla blaaa hati puas deh,1,1,1,0,0
salah target ahok agenda utama lengser jokowi,1,0,0,0,1
user user kena hestek panas urus orang banget,1,0,1,0,0
maju duit goyang kaki pape duit maju kat bodo url,0,1,0,0,0
user hkbp diri pecah kristen khatolik zaman jajah belanda nama kristen protestan kristen khatolik nterjadilah pecah diri hkbp prtama kali tarutung nnah,0,0,0,0,0
tertawa tertawa baca pintar jepang amerika china utang,0,0,0,0,0
prabowo kalah sebut bantu jokowi citra ratap pilu,1,0,1,0,0
user user takut adzan iblis,0,0,0,0,0
user user goblog bani cebong tukang tipu jilat kuasa tahu gerakin bayar pakai nasi bungkus propaganda nasi bungkus gagal,1,1,0,1,0
user user user user wuih cebong sewot xf kali f kali kali xf kali f kali kali xf kali f kali kali,1,1,1,0,0
gera tekan kerja keras total tingkat potensi bangsa,0,0,0,0,0
gubernur djarot mayoritas partai politik dprd dukung ahok djarot payah iya user url,1,0,1,0,0
user rezim rusak baik systeamnya sibuk cari salah ketemu kpk alat besok perintah ganti ulang engah selesai organisasi orang,0,0,0,0,0
orang orang tuding antek aseng aseng sungguh tepuk tangan,0,0,0,0,0
user loh anti aseng,0,0,0,0,0
selamat user moga kiprah tingkat nasional,0,0,0,0,0
sih ulama,0,0,0,0,0
user tahu ketapang tka asing kerja usaha pt who tambang bouksid viral pilpres ndan kerja era gubernur cornelis wakil,0,0,0,0,0
user anak pecun hobi zina tertawa,1,1,1,0,0
user que bom sbbsnsn,0,0,0,0,0
user istirahat presiden momentum saksi telinga mata rapat bentuk pacitan,0,0,0,0,0
house select committee on assassinations hsca temu cacat investigasi fbi warren commission hsca simpul tembak konspirasi dalam,0,0,0,0,0
user genap april gelar hajat pilpres acara tahun negara indonesia pilih presiden moga senantiasa jalan aman lancar amin,0,0,0,0,0
user ian pantat,0,1,0,0,0
user user ngakunya orang pintar agama memang agama boleh nista hujat orang orang bodoh orang maaf lahir idiot hargain cipta tuhan iblis pintar licik,0,1,0,0,0
daftar capres buka agustus normatif politikus pdip paham,1,0,0,1,0
sih tolol perintah rezim komunis bobrok koruptor pimpin sidang dewan wakil rakyat paya cebong url,1,1,1,0,0
gue mantan mantan gue mgerasa sedih pikir tidur loh gue anak brengsek laki,0,1,0,0,0
cina usak bangsa usir tuju,1,0,0,0,1
konstitusional hak rakyat woiii planga plongo laku otoriter,1,1,1,0,0
mari wujud pilih kepala daerah kota bengkulu aman damai coki_adem heruâ,0,0,0,0,0
serius presiden jokowi islam nusantara kristen nusantara budha hindu kong huchu nusantara,0,0,0,0,0
korsa nyata moeldoko bukti istana takut bangkit umat islam,0,0,0,0,0
cowok jago drasex ngentot adek luvian,0,1,0,0,0
user kroasia kapir tau kapai ajar kapir lupa kapling sorga,1,1,0,1,0
user user loh nya tri suharto homo,1,1,1,0,0
loh culun takut orang ubah perlahan buruk,0,0,0,0,0
perang salib raja afrika bagi babilonia peluk kristen tobaco peluk islam,0,0,0,0,0
kejar setorang bangsad rupiah turun xf kali f kali xa,1,1,1,0,0
moga tindak lapor nista agama adek armando langsung ketua fpi kah shobri lubis bareskrim markas polri gambir jakarta pusat selasa wib user,1,0,1,0,0
user user user user user user user user bangkai hajar,1,1,0,0,1
user user user nonta mati kalo banyak minum,1,0,0,1,0
url ahok tng was was hdpnya user user user user user user user,1,0,1,0,0
sul teng ekses akibat sandera hutang china,1,0,1,0,0
pride yunani xe xbd kali xcf kali xce xb xcf kali xce xb xcf kali xce xb xce xbd xce xaf xce xb hyper xc kali phania angkuh harga sombong ndikenal sebut hubris vanity harga rubah manusia sombong sombong manusia kutuk mata tuhan manusia cinta,0,0,0,0,0
tuju hati nlogikaku ntapi hati tenang naku logika nhatiku sedih nku cari wasiat beliau tinggal ndan asing asing mata manusia ntak duhai,0,0,0,0,0
user taji nya kpk era era komitmen berantas korupsi era surabaya,1,0,0,1,0
retweet user admin tolol partai tolol npartai tolol orang tolol,1,1,0,1,0
retweet user ayu ting ting goyang hot raffi ahmad nagita slavina kampung norak url,0,1,0,0,0
video tka malaysia kutip nyata user,0,0,0,0,0
ppp buru buru tolak wacana pilih kepala daerah lewatâ dprd,0,0,0,0,0
random pagi nyamperin meja kerja pakai bedak sih muka bersih istri butek ningin ku pakai air wudhu ku kristen,0,0,0,0,0
user user sial,0,1,0,0,0
memek lonte pengin sodok kontol gede,0,1,0,0,0
jokowi mundur user tutup url,1,0,1,0,0
user omong mulut banci beli kaca lihat diri broo,1,1,1,0,0
user amin ras nada dan nada ratna sih paiiit nada sih onta nada sih lobang anus njdi takut wo wo nkehabisan obat tenang ya,1,1,1,0,0
user tunggu komando imam bejat cabul user tahi beer xf kali f kali xba nape bawa ulama ndasar banj sempak,1,1,1,0,0
kabinet beranta npemecah belah satu rezim,1,0,0,1,0
dih aku pintar orang politik kaca woyy tampang lo xc xa orang bodoh user ckakakakak,1,1,1,0,0
tekan usaha tambang target proyek impossible lelang murah antek cina ntb contoh pdip menang dasar bajing,1,1,0,1,0
user user percaya mulut setia mu bwang,1,1,1,0,0
surabaya prabowo satu lawan mega jokowi peristiwa ulang mana pdip incumbent kalah mutlak surabaya jokowi mega surabaya lawan prabowo pilpres selesai poros pilpres salah lawan,0,0,0,0,0
retweet user user banci kaleng gatot gaduh gentleman mundur saing pilih presidens lawan jokowi,1,1,1,0,0
bebal,0,0,0,0,0
indonesia negara populasi muslim besar dunia islam musuh barat amp komunis hambat agenda penting obviously,0,0,0,0,0
user user umuh persib npersib kunyuk xf kali f kali kali xf kali f kali kali xf kali f kali kali,1,1,0,1,0
user user film muslim pilih ahok mati sholatin jamin laris,1,0,1,0,0
banu banu yahudi beda banu banu kristen syriac salah beda banu yahudi pakai eloah elohim yahwe syriac pakai alah allah,0,0,0,0,0
user eh muka merah cendol setan cuaca nih panas,0,1,0,0,0
berita saracen diframing katak akan tim prabowo anies sandi seberulnya media tumpah sakit hati katak cebong ehe,1,1,0,1,0
giat bhabinkamtibmas brigpol mbs sihombing rabu april melaks sambang desa tatap muka monitoring aman tertib masyarakat pilih kepala daerah desa lobusiregar tepat rumah rudi panjaitan helm siahaan hotman siahaan,0,0,0,0,0
sayang banget iya perempuan kayak status nemplok laki laki aduh nnagita slavina blak blakan ayu ting ting kampung xe kali kali viva url,0,1,0,0,0
user lupa kang umat katolik minorutas diperhatika gubernur golong golong,0,0,0,0,0
user user user user ane cebong dibilangin maren ngeyel nsitu maksa ane cebong,1,1,1,0,0
user lemah gerindra orang prabowo turun elektabilitasnya mulut fadlizon durno,1,1,1,0,0
selamat kartini kali raya makna kali ð,0,0,0,0,0
foto bisu milik arti sush arti susah arti putus,0,0,0,0,0
user wakakakaka alam xf kali f kali kali xf kali f kali kali xf kali f kali kali xf kali f kali kali tetiba muncul grub whatsapp bani abd had mbah mek kenal orang xf kali f xa xa xf kali f xa xa xf kali f xa,0,0,0,0,0
abam pres badar nuqaba boekkkð nih hebat bidang agama kali takut nk tgur member lawak hambar lawak orang jom gerak gerakkn badan chubby ð,0,0,0,0,0
â anak pekan ilham dasar ekonomi deb gerak utama maju ekonomi bandar beliau allahyarham tun abdul razakâ ds user,0,0,0,0,0
user user hahaha sialaaan sih user kalo laper presiden sikat doið ð ½,0,0,0,0,0
user user user nasihat kali ugal an rezim eh negeri lanjur ancor ekonomi morat marit kacaoooooo,1,0,1,0,0
user aelaah silit kebeler ngapa dikasianin orang sayang nsetelah sosmed gue sadar bbrapa seitansai kemarin entar gue ceritain duh xf kali f xa xa xf kali f xa xa xf kali f kali kali,0,1,0,0,0
user iya cacad,0,0,0,0,0
user rakyat makan asli palsu beton solusi jitu kurang miskin ahli cebong tukang tipu cebong mah bodoh ketulungan plonga plongo akibat optimisme,1,1,0,1,0
user baca harun yahya belot kubu yahudi freemasonry nya kadang suka percaya,0,0,0,0,0
maju ulama gerak tokoh agama indonesia,0,0,0,0,0
user user user user user user user user user user user user user user user user user user user user user,0,0,0,0,0
mudah iya keras keras nama,0,0,0,0,0
user kemarin hujat harap dasar bani kamprey,1,1,0,1,0
user jelas fitnah sila ban user apollinaris darmawan al quran kitab sampah,1,1,0,1,0
monyet koloe dbilang saudara lo hdupmu iya toe hati comberan user,1,1,1,0,0
body lufra scrub bahan dasar lidah setia mlembabkn kulit amp bcahaya informasi,0,0,0,0,0
user cacat masa,0,0,0,0,0
user user anut bumi datar xf kali f kali kali nsoalnya teori bumi bulat orang asing notabane musuh,0,0,0,0,0
becak warga binjai sita tenda tulis pks radang bukti perintah panik takut,1,0,0,1,0
jokowi mundur,1,0,1,0,0
musyawarah nasional alim ulama ppp semarang hasil rekomendasi syarat kriteria kriteria calon wakil presiden damping jokowi,0,0,0,0,0
user cerah nya gagal anak ekonomi wkwk,0,0,0,0,0
user user user user kafan asal budaya yahudi umat islam klaim,0,0,0,0,0
rezim kendali negara cina komunis mjd patron tunggal rezim anti islam jokowi,1,0,0,1,0
user user tanda nya pilih kepala daerah pilpres,0,0,0,0,0
misi bangun masyarakat gotong royong toleran harmoni selaras nilai budaya jawa barat luhur,0,0,0,0,0
tabah pasang en taufiq puan nurliyana wajar contoh jom sumbang ringan beban pasang come on twitter your things bsn bank islam nurliyana bte abdul raziff,0,0,0,0,0
user apaansi tahi doang belagunya langit karma entar idol flop ketawa keras,1,1,1,0,0
user user celeng kangen gue ya,0,1,0,0,0
budaya yuk visit purwokerto even rakyat,0,0,0,0,0
presiden dana taktis penting rakyat program perintah program bangun infrastruktur kip kis sertifikat tanah hutan sosial bbm harga padat karya,0,0,0,0,0
user amin iya allah ntimnya kan latih ular rawa rawa dapat sungai gede musuh setia wkwkw,0,0,0,0,0
user user maju katai bodoh,1,1,1,0,0
grombolan kadal jidat gosong suka ribut kalo grombolanya salah pura budek dasar grombolan cingkrang url,1,1,0,1,0
user user user segitu gentar takut kafir xf kali f kali kali,0,0,0,0,0
retweet user user saracen akun kritis anggap saracen aneh jokowi,1,0,1,0,0
user bodoh teman najis deh kesal,1,1,1,0,0
user user kafir kristen ulah,1,1,0,1,0
user bau bau cir sipit buluq,1,1,1,0,0
user pegang mucikari,0,0,0,0,0
guru dharma wanita satu desa plumbon porong deklarasi anti isu bohong ujar benci issu sarah dukung pilih kepala daerah damai,0,0,0,0,0
user anjir seram maennya begitu xf kali f kali kali xf kali f kali kali sih,0,1,0,0,0
user bank bilang jual uang asing tukar rupiah,0,0,0,0,0
user user user user onta yaman nih nsetahun deportasi lo,1,1,0,0,1
hati hati berita pilih kepala daerah bau isu bohong kunjung,0,0,0,0,0
user anak cocot iya user,1,1,1,0,0
user xf kali f kali kali xf kali f kali kali xf kali f kali kali xf kali f kali kali xf kali f kali kali xf kali f kali kali xf kali f kali kali tahu isu bohong iya fahri mangkanye ambil berite tuyg update tong sampah ambil ss tau rit,1,0,1,0,0
mantap dm banser mas user,0,0,0,0,0
lebah suka bunga makan bangkai gue penasaran madu nya kayak xf kali f xa kali,0,0,0,0,0
user user indonesia mundur bentuk,1,0,1,0,0
user user user user naahh dongo bilang hekell hahaha,0,1,0,0,0
user user user user hahahaha blunder cebong asih pem pusat alas ham rakyat aceh iya kali coba datang perintah bilang suruh hukum islam kaffah aceh dewan wakil rakyat,1,1,1,0,0
bangsad deh nyelem,0,1,0,0,0
pancing pancing urus nista bicara paham fiksi kitab suci,0,0,0,0,0
user user user user cebong kacung teman gue dungu tulang sum buang energi debat xf kali f kali kali,1,1,0,1,0
user partai korupsi sapi goblog,1,1,0,1,0
signal kntl pelihara niat sih login twitter doang susah open redtube cetan user,1,1,0,1,0
user user matane moh kafir wkwkwk,0,0,0,0,0
user fesbuk anjir lupa,0,1,0,0,0
user sih bilang hilih kntl,0,1,0,0,0
nikita mirzani pakai hijab omong cebang cebong fantasiin doi uh ah,1,1,1,0,0
user tatap alih arah enggan tatap pria curiga lagipula kali gaduh suasana angie temu pria asing tidur sofa jadi,0,0,0,0,0
lahir kembang gera komunis indonesia pisah organisasi nama isdv,0,0,0,0,0
shaheizy wajah baharu calpis,0,0,0,0,0
iya serah balas fokus kerja tugas project seni budaya telah langsung kumpul presentasi syukur nilai muas jadi project,0,0,0,0,0
saudara laki,0,0,0,0,0
laku bodoh user masuk kategori buat senang nkelakuan sontoloyo user menganggu satu bangsa nkelakuan naif user langsung bentuk intimidasi ulama nkelakuan user,1,1,1,0,0
monyet turun mukim warga cibadak sukabumi url,0,0,0,0,0
user kotor bahagia warga cebong erti,1,1,0,1,0
giveaway taplak meja menang therichchenle,0,0,0,0,0
retweet user buka kebusukab kubu anies sandi menang berkah url prabowo usaha cuci tangan,1,0,0,1,0
user user wkwkwkwk bodo mas,0,1,0,0,0
user user bik kayak orang bodoh saudara laki bahasa ego,1,1,1,0,0
klhk upaya perata ekonomi tora kawasan hutan hutan sosial tribun medan,0,0,0,0,0
user user mahfud md paling allah swt berang bangsa ajak buang islam,1,1,0,0,1
user user orang bodoh banyak minum amp makan kotor onta otak nya somplak,1,1,1,0,0
kuak strategi kampanye tim menang anies sandi url,1,0,1,0,0
warga baduy selesai ingat tradisi seba pendopo pemkab lebak lanjut temu gubernur banten wahidin halim sabtu,0,0,0,0,0
lembaga anti korupsi bubar sentuh kuasa gilir kpk pdip partai politik kuasa pulang ngotot bubar kpk,1,0,0,1,0
user user user mas kalo mnyudutkan salah agama trtentu bahaya rocky cerdik nyusun kalimat amp dgunakan inti kasih pngertian fiksi sbenarnya ayo mas nya,0,0,0,0,0
dukung capres gagal move on salalu sibuk urus aseng bawa kabur uang rp t sadar aseng kabur bawa uang dukung pribumi asu mustahil aseng pribumi diam sogok mental kacung url,1,1,0,1,0
retweet user user user rabun budek ngue tulis omong xf kali f kali kali xf kali f kali kali,1,1,1,0,0
bismillah tahan sepo kutuk,0,1,0,0,0
user brahahahaaa cebong nya ngahok xf kali f xa xa xf kali f xa xa user cebong cebok xf kali f kali kali user,1,1,1,0,0
apdet status tugas kelar iya anjing mbut,0,1,0,0,0
user user muslim jabat negara tindak bangsa negara,0,0,0,0,0
ikan sembuh sakit selamat bagus laik jual pisah seleksi ikan cacat permanen pelihara ncc user user user,0,0,0,0,0
pribumi sadar lihat kecuali cina komunis misionaris abai tweet usir cina indonesia,1,0,0,0,1
presiden tuduh rezim anti islam buat negeri buat umat url,1,0,1,0,0
user user manusia bangsad,1,1,1,0,0
retweet user iya cina kenal wisata haram indonesia hahaha,1,0,0,1,0
retweet user prabowo pks bib asyik anggap antek prabowo antek pks hidup dramatis,1,0,1,0,0
sahabat salah lovren bukti beda suku agama ras halang bina hubung umat manusia beda warna sendiri jalin teman terima kasih lovren salah â ï,0,0,0,0,0
user user user lae turun turun ideologi partai komunis indonesia lekat jiwa,0,0,0,0,0
retweet user user sebel ngeroko motor yakan kadang engap tutup macet xe kali xa,0,0,0,0,0
user user maaf kunyuk user saudara laki nenak banget rasan sebar isu bohong maaf sebar isu bohong maaf nmesti sapu user jera orang url,1,1,1,0,0
hello warga jakarta wakil kepala dpmptsp provinsi dki jakarta denny wahyu haryanto wakil wakil gubernur provinsi dki jakarta buka acara junior chamber international jci indonesia national event,0,0,0,0,0
kuat jaring gubernur user tekan kuasa state of the art knowledge bahasa rantau indonesia user,0,0,0,0,0
pandang tgb agama politik,0,0,0,0,0
retweet user provider brengsek,1,1,0,1,0
susilo bambang yudhoyono presiden ri khofifah emil masyarakat no,0,0,0,0,0
user user user dungu orang ganti presiden mikiiiir,1,1,1,0,0
retweet user porno cewek bispak bandung ngentot croot xf kali f kali kali ndownload full url url,0,1,0,0,0
user sial complain rag ditanggepi fuck,1,1,0,1,0
kayak jarang belai gta mau jemput pakai mobil,1,1,1,0,0
lihat memek tante,0,1,0,0,0
user kerja musuh dakwah islam bubar hti rakyat hak lengser jokowok tukang citra,1,0,0,0,1
user user user user hah lengkap orang bukti bodoh sih,1,1,1,0,0
xe kali kali ctidak xe kali kali salah khalifah rasyidin xe kali kali ckami rang orang kafir xe kali kali xe kali kali ckalau orang orang munafik xe kali kali xe kali kali ctidak orang munafik,0,0,0,0,0
user user user user user user user user user user user user user user user user user user doyan nete uji nasional maklumin,0,1,0,0,0
user nek ndelok match terkhir celsi sih kudune menang mudah emyu ya embuh sih celsi kacau ki raiso prediksi xf kali f kali kali,1,1,0,1,0
user yakali tni suruh urus sampah plastik xf kali f kali kali,0,0,0,0,0
user user khawatir manuver politik bijak rezim moga nkri cinta amin,0,0,0,0,0
madi arya lapor rocky gerung polisi serius kitab suci fiksi rocky nyata salah hina wait anut agama anggap kitab suci,0,0,0,0,0
user bajing tengik,0,1,0,0,0
pakai buruh cina rakyat pngangguran dasar rejim kodok,1,1,1,0,0
user user user user user user user user user user user user user user user user user user user user,1,1,0,1,0
rp haneul cute rlnya perek on retweet,0,1,0,0,0
user user user user user user user user user user user user bilang anti asing aseng indak tau wkwkwkwkwk,0,0,0,0,0
user suriah sekolah radikal rakit bom pulang indonesia pkl iya aman,0,0,0,0,0
retweet user kadang hidup tahi kadang berak orang lo beres tainya tangan ya xe kali xa,0,1,0,0,0
user ih banci selotipan xf kali f kali kali,1,1,1,0,0
retweet user user user user user user user tertawa kalah nih ya orang jahat kalah,1,0,1,0,0
retweet user user cinta orba meng idola prabowo amp hary tanoe,1,0,1,0,0
nantang buka dada eh nyebut setan habis kamus lawan kenegarawanan joko widodo presiden ri stresssssss hati kena stoke serang jantung rakyat indonesia hilang badut politik merdeka,1,1,0,1,0
user user user user belah durian ya dungu iya cebong xf kali f kali kali xf kali f kali kali nmaaf iya,1,1,1,0,0
orang orang yahudi nasrani al kitab taurat injil kenal muhammad,0,0,0,0,0
bubar hti amp fpi url,1,0,0,0,1
ahok verbal keras lampias lari lelaki lunak,1,0,1,0,0
user dar share teman kantor langgan cadar langsung bilang awas bom hela nafas xf kali f kali xaf,0,0,0,0,0
retweet user pantat nih pengin tusuk tusuk xf kali f kali kali open whatsapp xe kali xa,0,1,0,0,0
user ancam bunuh presiden republik indonesia mas mesti lapor tegak hukum tindak ancam bunuh kepala negara,0,0,0,0,0
user orang nyosor nete,0,1,0,0,0
user ngewe bae,0,1,0,0,0
user jebur bloon cebur,0,1,0,0,0
pks ultah balai kota rr omong nyapres balai kota ganti nama â balai politikâ ð ª,0,0,0,0,0
user lanjut rencana user seret user adil ham pbb url,1,0,1,0,0
user bijak kembali barang konsumen barang rusak cacat produksi konsumen puas produk hitung tanggal beli nyuk ikut nuser,0,0,0,0,0
kisah hidup muhammad lengkap didownload,0,0,0,0,0
jajah bumi indonesia hapus jajah ekonomi budaya hasil bumi cina basmi nkri usir,1,0,0,0,1
user user user user user user pipis onta cecer mari bau pesing,0,1,0,0,0
user user jadi triak lantang pmrth profesional aseng duluan pas tawar bantu asing posko inti ngomporin keluarga korban sue pmrth bilang,0,0,0,0,0
user user mari juang dilanti njangan gentar njangan takut nwalau mata benang leher tombak porut ntidak surut langkah ntidak bisu suara ntidak,0,0,0,0,0
retweet user user user user user user user kayak monyet,0,1,0,0,0
survei metro tv jokowi menang presiden etapi ngitungnya iya kalah salah judul maksud jokowi menang sumber zie bajrie,1,0,1,0,0
user user user user user user user user user user user user user user user user user user user user user user user,0,0,0,0,0
coba tengok anime nih karakai jozu no takagi san feeling feeling cinta monyet zaman sekolah throwback habes url,0,0,0,0,0
seru pesta budaya erau kuta kartanegara,0,0,0,0,0
retweet user contactnya retweet iya nbanyak banget kenal tante jilboob sange nini nama tante dea o xe kali xa,0,1,0,0,0
debat publik ajang bukti pintar ruang akademik pamer ciamik orang kuat lemah egosentris nama kuat tahan l,0,0,0,0,0
duduk istana negara lengser jokowi salam user,1,0,0,0,1
retweet user hebat user sibuk citra user user user user baca,1,0,1,0,0
user muslim hina iblis betina nista syariat,1,1,1,0,0
retweet user baby kafir budha teroris myanmar,1,1,0,1,0
indonesia merdeka indonesia jajah orang cina takbirallauakbar url,1,0,0,1,0
amat politik hantayudha paslon no khanz nya jateng,0,0,0,0,0
